Timestamp,Domain name queried,Resolution mode,DNS server IP contacted,Step of resolution,Response or referral received,Round-trip time to that server,Total time to resolution,Cache status
1761487438.940068,brown.edu,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 128.148.252.151,547.9519367218018,548.1104850769043,N/A
1761487439.4884195,tsksv.ru,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 91.199.149.117,17.81916618347168,17.973899841308594,N/A
1761487439.5065749,datadikdki.net,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 104.21.55.109,21.712779998779297,21.847963333129883,N/A
1761487439.5286477,ticketbis.com,Recursive,,N/A (Recursive),ERROR: The DNS response does not contain an answer to the question: ticketbis.com. IN A,,22.042512893676758,N/A
1761487439.5509562,jabeye.org,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 173.236.216.220,24.110078811645508,24.291515350341797,N/A
1761487439.5753856,cellularfactory.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 208.91.197.27,20.08199691772461,20.229816436767578,N/A
1761487439.5957482,newpages2u.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 110.74.174.131,22.07803726196289,22.218942642211914,N/A
1761487439.6180818,gaybodyblog.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: gaybodyblog.com.,,12.218236923217773,N/A
1761487439.6308558,simple-health-reports.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: simple-health-reports.com.,,38.092851638793945,N/A
1761487439.6690679,likeminded.ca,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 198.100.154.154,20.119667053222656,20.241260528564453,N/A
1761487439.6894374,seedy.dk,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 93.191.156.22,19.908905029296875,20.045757293701172,N/A
1761487439.709607,51cdngo.com,Recursive,,N/A (Recursive),ERROR: The DNS response does not contain an answer to the question: 51cdngo.com. IN A,,18.332481384277344,N/A
1761487439.7281094,fauzanalfi.com,Recursive,,N/A (Recursive),ERROR: The DNS response does not contain an answer to the question: fauzanalfi.com. IN A,,78.34124565124512,N/A
1761487439.8069713,supreetsethi.net,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: supreetsethi.net.,,25.052309036254883,N/A
1761487439.8324907,brfone.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 54.243.117.197,20.100831985473633,20.460128784179688,N/A
1761487439.853063,gucenmez.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 104.21.39.228,21.23260498046875,21.353960037231445,N/A
1761487439.87454,alltransport.ru,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 141.8.192.214,23.442745208740234,23.57196807861328,N/A
1761487439.8982503,hivelocitymedia.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 104.21.1.224,17.3337459564209,17.485380172729492,N/A
1761487439.9158983,mumphi.de,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 87.106.48.102,18.78523826599121,18.965482711791992,N/A
1761487439.9350793,bigjournalism.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 104.21.75.65,26.027441024780273,26.553869247436523,N/A
1761492851.9285758,gvowebcast.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 172.67.176.152,169.10743713378906,169.56377029418945,N/A
1761492851.9066248,likeminded.ca,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 198.100.154.154,192.68369674682617,194.65899467468262,N/A
1761492851.8989832,congsoxanh.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 172.67.150.218,202.74925231933594,203.0966281890869,N/A
1761492851.910561,nucre.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 185.53.179.170,189.87488746643066,191.8346881866455,N/A
1761492851.9244483,aspiringwriter.ca,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: aspiringwriter.ca.,,180.39679527282715,N/A
1761492851.921404,rousing.dk,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 212.237.249.17,184.0052604675293,184.31830406188965,N/A
1761492851.915116,fanzi.pl,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: fanzi.pl.,,192.23332405090332,N/A
1761492851.9365783,gba4iosapp.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 198.49.23.144,294.79527473449707,295.7446575164795,N/A
1761492852.0278897,lgmonitorreview.nl,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: lgmonitorreview.nl.,,208.38475227355957,N/A
1761492851.9420009,motiie.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: motiie.com.,,308.5746765136719,N/A
1761492852.024115,gamepsvita.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 104.21.73.148,233.86240005493164,234.24601554870605,N/A
1761492852.0444994,webxtrap.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 109.234.165.168,248.85988235473633,250.7474422454834,N/A
1761492852.0594308,ku.edu,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 129.237.135.76,242.77591705322266,242.9943084716797,N/A
1761492852.106776,nipslab.org,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 89.46.108.36,162.2941493988037,162.44745254516602,N/A
1761492852.103748,ohdev.co.uk,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 51.89.253.246,177.20961570739746,177.27351188659668,N/A
1761492851.9635057,metabans.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 104.21.65.104,309.59272384643555,317.7614212036133,N/A
1761492852.0295937,seedy.dk,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 93.191.156.22,247.62749671936035,253.32403182983398,N/A
1761492852.0413542,bigjournalism.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 172.67.215.184,242.60354042053223,244.16494369506836,N/A
1761492852.0613697,brown.edu,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 128.148.252.151,222.95546531677246,224.5638370513916,N/A
1761492852.1034262,valerievandenbroek.nl,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: valerievandenbroek.nl.,,182.7869415283203,N/A
1761492852.0513272,ljyelectronic.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 156.232.155.66,235.2006435394287,235.83245277404785,N/A
1761492852.0559921,supreetsethi.net,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: supreetsethi.net.,,231.71424865722656,N/A
1761492852.1074793,womenology.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 213.186.33.4,179.96764183044434,180.33671379089355,N/A
1761492852.036943,lacuentaperdida.org,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: lacuentaperdida.org.,,253.53002548217773,N/A
1761492852.0398889,visualtap.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 52.20.84.62,249.80950355529785,252.06804275512695,N/A
1761492852.0690937,cellularfactory.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 208.91.197.27,221.84348106384277,223.6490249633789,N/A
1761492852.1049378,ticketbis.com,Recursive,,N/A (Recursive),ERROR: The DNS response does not contain an answer to the question: ticketbis.com. IN A,,187.67285346984863,N/A
