Timestamp,Domain name queried,Resolution mode,DNS server IP contacted,Step of resolution,Response or referral received,Round-trip time to that server,Total time to resolution,Cache status
1761487455.3143592,bigliettieventi.info,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: bigliettieventi.info.,,32.418251037597656,N/A
1761487455.3473942,freeditorial.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 51.178.246.100,27.736663818359375,28.012752532958984,N/A
1761487455.3758173,ecolems.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 51.103.54.68,22.715091705322266,22.901058197021484,N/A
1761487455.399121,gadgetgearpro.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: gadgetgearpro.com.,,83.7547779083252,N/A
1761487455.4833689,marilynlingerie.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: marilynlingerie.com.,,28.51080894470215,N/A
1761487455.5122375,bookingnest.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 13.248.169.48,21.857261657714844,22.011280059814453,N/A
1761487455.5343835,sonoma-marinfair.org,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 104.21.34.187,24.29509162902832,24.437427520751953,N/A
1761487455.5590293,asseenontvlaunchpad.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: asseenontvlaunchpad.com.,,23.22220802307129,N/A
1761487455.5823693,get-webby.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: get-webby.com.,,23.03338050842285,N/A
1761487455.605527,minecraftserverdeals.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 104.21.1.113,24.47223663330078,24.593353271484375,N/A
1761487455.630472,cdmail.fr,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 5.196.212.149,21.42786979675293,21.624326705932617,N/A
1761487455.652222,ishidatic.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 15.197.172.60,19.236087799072266,19.367456436157227,N/A
1761487455.6717713,romney.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 208.91.197.27,18.570899963378906,18.70417594909668,N/A
1761487455.690617,anvilnetworksolutions.net,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 217.160.0.13,18.077850341796875,18.206357955932617,N/A
1761487455.7089233,tenant-internet.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: tenant-internet.com.,,26.382923126220703,N/A
1761487455.7359035,gadanguides.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 93.188.2.51,20.98250389099121,21.23117446899414,N/A
1761487455.7574809,charityjob.co.uk,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 104.24.144.14,19.0579891204834,19.255876541137695,N/A
1761487455.7768855,sarahpartridge.net,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: sarahpartridge.net.,,27.178049087524414,N/A
1761487455.8041844,metar.gr,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 75.119.133.58,20.9500789642334,21.069765090942383,N/A
1761487455.8254807,ciber.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 103.247.209.15,21.291255950927734,21.444082260131836,N/A
1761492987.7360609,anvilnetworksolutions.net,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 217.160.0.13,59.15665626525879,59.40127372741699,N/A
1761492987.711364,callcomm.info,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: callcomm.info.,,87.12482452392578,N/A
1761492987.6775959,polymth.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 104.21.57.169,124.23539161682129,124.88079071044922,N/A
1761492987.7129297,morban.co.uk,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 217.160.0.111,97.08523750305176,97.46289253234863,N/A
1761492987.6686947,charityjob.co.uk,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 104.24.144.14,144.43230628967285,145.1268196105957,N/A
1761492987.6812267,cdmail.fr,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 5.196.212.149,134.4926357269287,134.73916053771973,N/A
1761492987.6552248,get-webby.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: get-webby.com.,,162.4774932861328,N/A
1761492987.7218823,synrc.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 172.67.185.234,98.06537628173828,98.42133522033691,N/A
1761492987.7142804,monitis.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 188.172.236.218,106.1241626739502,106.6892147064209,N/A
1761492987.6970508,note-so-easy.co.za,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 102.211.204.40,120.86653709411621,124.53937530517578,N/A
1761492987.7260766,ishidatic.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 15.197.172.60,94.52962875366211,96.7094898223877,N/A
1761492987.720414,clickdownloadfiles.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: clickdownloadfiles.com.,,104.278564453125,N/A
1761492987.6748812,tangkas888.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 104.21.7.113,152.17065811157227,152.60648727416992,N/A
1761492987.6990001,gardenofwords.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 192.0.78.25,130.94782829284668,131.34431838989258,N/A
1761492987.7320058,e-daily.gr,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 104.26.12.52,98.66714477539062,101.27830505371094,N/A
1761492987.6582143,nasaspaceflight.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 172.66.43.73,176.77640914916992,179.69846725463867,N/A
1761492987.6494606,medipacademy.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 172.67.131.163,189.63122367858887,190.2029514312744,N/A
1761492987.6934552,cushinglawoffices.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: cushinglawoffices.com.,,157.2251319885254,N/A
1761492987.7060115,sendrakhizonline.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 20.244.2.144,145.03240585327148,145.60699462890625,N/A
1761492987.690667,pahibu.net,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: pahibu.net.,,164.45469856262207,N/A
1761492987.6594067,sonoma-marinfair.org,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 172.67.163.188,194.9288845062256,197.62325286865234,N/A
1761492987.6445034,bbqinjector.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: bbqinjector.com.,,214.9512767791748,N/A
1761492987.7330728,marilynlingerie.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: marilynlingerie.com.,,126.58858299255371,N/A
1761492987.7404902,ximangquantrieu.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 123.31.17.119,123.98052215576172,126.02782249450684,N/A
1761492987.647276,tawali.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 173.249.147.46,222.31292724609375,223.067045211792,N/A
1761492987.6633408,hdcric.com,Recursive,127.0.0.53,N/A (Recursive),ANSWER: 159.69.186.9,221.91667556762695,222.4142551422119,N/A
1761492987.6734712,asseenontvlaunchpad.com,Recursive,,N/A (Recursive),ERROR: The DNS query name does not exist: asseenontvlaunchpad.com.,,213.05346488952637,N/A
