Timestamp,Domain name queried,Resolution mode,DNS server IP contacted,Step of resolution,Response or referral received,Round-trip time to that server,Total time to resolution,Cache status
1761487602.5515237,gardeninginflorida.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,143.38135719299316,,MISS
1761487602.695153,gardeninginflorida.com,Iterative,192.41.162.30,TLD,REFERRAL to 2603:5:21d0::a,153.8548469543457,,MISS
1761487602.8494248,gardeninginflorida.com,Iterative,2603:5:21d0::a,Authoritative,ERROR: The DNS operation timed out.,,2402.8728008270264,MISS
1761487604.9548042,22hotmail.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,304.31389808654785,,MISS
1761487605.2593822,22hotmail.com,Iterative,192.41.162.30,TLD,REFERRAL to 13.107.236.5,150.19965171813965,,MISS
1761487605.4098153,22hotmail.com,Iterative,13.107.236.5,Authoritative,ANSWER: 20.76.201.171,83.01448822021484,538.1367206573486,MISS
1761487605.4932518,abhair.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,401.23963356018066,,MISS
1761487605.894836,abhair.com,Iterative,192.41.162.30,TLD,REFERRAL to ns1.tierra.net. (needs glue lookup),306.4570426940918,,MISS
1761487606.376033,abhair.com,Iterative,72.1.32.185,Authoritative,ANSWER: 23.227.38.32,428.90429496765137,1311.7635250091553,MISS
1761487606.8051543,videofun.me,Iterative,198.41.0.4,Root,REFERRAL to 199.253.60.1,297.99413681030273,,MISS
1761487607.1033869,videofun.me,Iterative,199.253.60.1,TLD,REFERRAL to dns1.registrar-servers.com. (needs glue lookup),187.96777725219727,,MISS
1761487609.0821173,videofun.me,Iterative,156.154.132.200,Authoritative,ERROR: The DNS operation timed out.,,4281.892776489258,MISS
1761487611.0891807,myfantasticpark.es,Iterative,198.41.0.4,Root,REFERRAL to 194.69.254.1,142.61889457702637,,MISS
1761487611.2320664,myfantasticpark.es,Iterative,194.69.254.1,TLD,REFERRAL to ns.udag.net. (needs glue lookup),234.0829372406006,,MISS
1761487611.5183399,myfantasticpark.es,Iterative,185.132.33.253,Authoritative,ANSWER: 89.31.143.90,167.41085052490234,597.9547500610352,MISS
1761487611.686178,tripladoppia.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,141.3571834564209,,MISS
1761487611.8279316,tripladoppia.com,Iterative,192.41.162.30,TLD,ERROR: All nameservers failed to answer the query a.gtld-servers.net.\032nstld.verisign-grs.com.\0321761487559\0321800\032900\032604800\032900. IN A: Server Do53:127.0.0.53@53 answered FORMERR,145.96080780029297,308.3977699279785,MISS
1761487611.9949007,gustissimo.it,Iterative,198.41.0.4,Root,REFERRAL to 194.0.16.215,147.66550064086914,,MISS
1761487612.1429627,gustissimo.it,Iterative,194.0.16.215,TLD,ERROR: The DNS operation timed out.,,3904.8807621002197,MISS
1761487615.900359,itgeorgia.co,Iterative,198.41.0.4,Root,REFERRAL to 212.18.248.57,141.62588119506836,,MISS
1761487616.042308,itgeorgia.co,Iterative,212.18.248.57,TLD,REFERRAL to dns1.name-services.com. (needs glue lookup),118.67165565490723,,MISS
1761487616.1928074,itgeorgia.co,Iterative,64.98.148.137,Authoritative,ANSWER: 64.98.135.85,282.17101097106934,574.9204158782959,MISS
1761487616.4752836,ngoanhien.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,144.22917366027832,,MISS
1761487616.6197064,ngoanhien.com,Iterative,192.41.162.30,TLD,ERROR: All nameservers failed to answer the query a.gtld-servers.net.\032nstld.verisign-grs.com.\0321761487559\0321800\032900\032604800\032900. IN A: Server Do53:127.0.0.53@53 answered FORMERR,145.96915245056152,310.1181983947754,MISS
1761487616.7855232,contentremarketing.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,144.5622444152832,,MISS
1761487616.930337,contentremarketing.com,Iterative,192.41.162.30,TLD,REFERRAL to 69.20.95.4,556.3616752624512,,MISS
1761487617.486953,contentremarketing.com,Iterative,69.20.95.4,Authoritative,ANSWER: 216.10.240.70,276.4744758605957,977.9653549194336,MISS
1761487617.764069,iointegrators.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,138.38577270507812,,MISS
1761487617.9027634,iointegrators.com,Iterative,192.41.162.30,TLD,REFERRAL to 156.154.132.100,165.24147987365723,,MISS
1761487618.068228,iointegrators.com,Iterative,156.154.132.100,Authoritative,ANSWER: 76.120.251.25,48.071861267089844,352.3218631744385,MISS
1761487618.1165397,vinayaprabha.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,143.0060863494873,,MISS
1761487618.2599437,vinayaprabha.com,Iterative,192.41.162.30,TLD,REFERRAL to ns5.wixdns.net. (needs glue lookup),139.01996612548828,,MISS
1761487618.4180045,vinayaprabha.com,Iterative,216.239.38.101,Authoritative,ANSWER: 185.230.63.186,22.28856086730957,323.81725311279297,MISS
1761487618.4404662,auto-klad.ru,Iterative,198.41.0.4,Root,REFERRAL to 193.232.128.6,141.63684844970703,,MISS
1761487618.5826516,auto-klad.ru,Iterative,193.232.128.6,TLD,REFERRAL to ns4.salenames.RU. (needs glue lookup),206.72965049743652,,MISS
1761487619.2251594,auto-klad.ru,Iterative,62.122.170.168,Authoritative,ERROR: The DNS operation timed out.,,2792.4845218658447,MISS
1761487621.2332304,sapendolo.it,Iterative,198.41.0.4,Root,REFERRAL to 194.0.16.215,174.61180686950684,,MISS
1761487621.4080565,sapendolo.it,Iterative,194.0.16.215,TLD,ERROR: The DNS query name does not exist: ns2.match.it.,174.20148849487305,373.68154525756836,MISS
1761487621.6071863,ana-sofia.pt,Iterative,198.41.0.4,Root,REFERRAL to 185.39.208.1,160.4628562927246,,MISS
1761487621.7681959,ana-sofia.pt,Iterative,185.39.208.1,TLD,REFERRAL to ns1.ptservidor.net. (needs glue lookup),194.18048858642578,,MISS
1761487622.366647,ana-sofia.pt,Iterative,185.32.188.57,Authoritative,ANSWER: 185.32.190.38,193.21942329406738,952.7473449707031,MISS
1761487622.5601125,daytimeghosthunter.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,158.43677520751953,,MISS
1761487622.7187755,daytimeghosthunter.com,Iterative,192.41.162.30,TLD,ERROR: All nameservers failed to answer the query a.gtld-servers.net.\032nstld.verisign-grs.com.\0321761487574\0321800\032900\032604800\032900. IN A: Server Do53:127.0.0.53@53 answered FORMERR,139.4658088684082,319.1258907318115,MISS
1761487622.87935,breezelaw.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,137.21561431884766,,MISS
1761487623.0167978,breezelaw.com,Iterative,192.41.162.30,TLD,REFERRAL to 2603:5:2126::45,158.0190658569336,,MISS
1761487623.175148,breezelaw.com,Iterative,2603:5:2126::45,Authoritative,ERROR: The DNS operation timed out.,,2307.128667831421,MISS
1761487625.1868057,ranocchi.it,Iterative,198.41.0.4,Root,REFERRAL to 194.0.16.215,141.7710781097412,,MISS
1761487625.3291676,ranocchi.it,Iterative,194.0.16.215,TLD,REFERRAL to 195.7.227.1,173.3834743499756,,MISS
1761487625.5027213,ranocchi.it,Iterative,195.7.227.1,Authoritative,ANSWER: 52.18.99.110,170.42040824890137,486.4323139190674,MISS
1761487625.6733727,sitiweb.us,Iterative,198.41.0.4,Root,REFERRAL to 204.74.105.1,156.79383277893066,,MISS
1761487625.8304207,sitiweb.us,Iterative,204.74.105.1,TLD,REFERRAL to ns.supporthost.net. (needs glue lookup),44.237613677978516,,MISS
1761487625.9010186,sitiweb.us,Iterative,51.75.17.47,Authoritative,ANSWER: 136.243.45.246,164.0613079071045,391.77560806274414,MISS
1761487626.0652533,saharaimport.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,156.8303108215332,,MISS
1761487626.2222965,saharaimport.com,Iterative,192.41.162.30,TLD,REFERRAL to 95.217.232.23,139.04190063476562,,MISS
1761487626.3615432,saharaimport.com,Iterative,95.217.232.23,Authoritative,ANSWER: 176.9.116.24,191.3609504699707,487.7045154571533,MISS
1761493762.3404694,roche-applied-science.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,156.33606910705566,,MISS
1761493762.3419416,wiltpr.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,158.54120254516602,,MISS
1761493762.3386393,wordai.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,164.12830352783203,,MISS
1761493762.3461819,onetoshop.nl,Iterative,198.41.0.4,Root,REFERRAL to 194.0.25.24,160.29644012451172,,MISS
1761493762.340104,contentremarketing.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,168.7641143798828,,MISS
1761493762.3441737,dmg-dental.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,197.06249237060547,,MISS
1761493762.349901,msf.be,Iterative,198.41.0.4,Root,REFERRAL to 194.0.44.1,343.630313873291,,MISS
1761493762.3755283,capequilog.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,324.3274688720703,,MISS
1761493762.3614645,celerity.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,344.9561595916748,,MISS
1761493762.3575044,thepropertyvault.co.uk,Iterative,198.41.0.4,Root,REFERRAL to 213.248.216.1,361.0203266143799,,MISS
1761493762.3706641,videofun.me,Iterative,198.41.0.4,Root,REFERRAL to 199.253.60.1,359.9894046783447,,MISS
1761493762.3735642,rubenquinones.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,376.3723373413086,,MISS
1761493762.368085,viahttps.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,395.3366279602051,,MISS
1761493762.3553457,gaplex.biz,Iterative,198.41.0.4,Root,REFERRAL to 156.154.125.65,412.87922859191895,,MISS
1761493762.3596504,supportpabiomass.org,Iterative,198.41.0.4,Root,REFERRAL to 199.249.112.1,415.1015281677246,,MISS
1761493762.367264,hackthissite.org,Iterative,198.41.0.4,Root,REFERRAL to 199.249.112.1,411.2832546234131,,MISS
1761493762.3791122,ilikecrochet.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,404.3872356414795,,MISS
1761493762.3640022,rolflouisville.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,423.28476905822754,,MISS
1761493762.364941,overseasmedical.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,427.4182319641113,,MISS
1761493762.351427,go2jump.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,443.723201751709,,MISS
1761493762.3651783,sweathelp.org,Iterative,198.41.0.4,Root,REFERRAL to 199.249.112.1,430.0706386566162,,MISS
1761493762.3544765,skplus.kr,Iterative,198.41.0.4,Root,REFERRAL to 210.101.61.1,443.0422782897949,,MISS
1761493762.369114,saharaimport.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,438.6253356933594,,MISS
