Timestamp,Domain name queried,Resolution mode,DNS server IP contacted,Step of resolution,Response or referral received,Round-trip time to that server,Total time to resolution,Cache status
1761487276.2088416,tuhafhaberler.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,160.4924201965332,,N/A
1761487276.3700273,tuhafhaberler.com,Iterative,192.41.162.30,TLD,ERROR: All nameservers failed to answer the query a.gtld-servers.net.\032nstld.verisign-grs.com.\0321761487229\0321800\032900\032604800\032900. IN A: Server Do53:127.0.0.53@53 answered FORMERR,142.1983242034912,323.580265045166,N/A
1761487276.5327098,41latitude.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,143.13411712646484,,N/A
1761487276.676197,41latitude.com,Iterative,192.41.162.30,TLD,REFERRAL to 156.154.132.200,142.52281188964844,,N/A
1761487276.819082,41latitude.com,Iterative,156.154.132.200,Authoritative,ERROR: The resolution lifetime expired after 5.220 seconds: Server Do53:127.0.0.53@53 answered The DNS operation timed out.; Server Do53:127.0.0.53@53 answered The DNS operation timed out.,50.093889236450195,5556.7686557769775,N/A
1761487282.0900602,us.tf,Iterative,198.41.0.4,Root,REFERRAL to 194.146.106.46,142.4417495727539,,N/A
1761487282.2327626,us.tf,Iterative,194.146.106.46,TLD,REFERRAL to ns1.idnscan.net. (needs glue lookup),155.96866607666016,,N/A
1761487282.7797163,us.tf,Iterative,95.130.17.35,Authoritative,ERROR: The DNS operation timed out.,,2698.556423187256,N/A
1761487284.7886207,tottenhamhk.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,155.4570198059082,,N/A
1761487284.9443223,tottenhamhk.com,Iterative,192.41.162.30,TLD,ERROR: All nameservers failed to answer the query a.gtld-servers.net.\032nstld.verisign-grs.com.\0321761487244\0321800\032900\032604800\032900. IN A: Server Do53:127.0.0.53@53 answered FORMERR,158.7514877319336,343.28174591064453,N/A
1761487285.1323166,running-sigi.de,Iterative,198.41.0.4,Root,REFERRAL to 194.0.0.53,143.33391189575195,,N/A
1761487285.2759087,running-sigi.de,Iterative,194.0.0.53,TLD,ERROR: All nameservers failed to answer the query f.nic.de.\032dns-operations.denic.de.\0321761487127\0327200\0327200\0323600000\0327200. IN A: Server Do53:127.0.0.53@53 answered FORMERR,171.18096351623535,337.9030227661133,N/A
1761487285.470505,energybulbs.co.uk,Iterative,198.41.0.4,Root,REFERRAL to 213.248.216.1,140.2120590209961,,N/A
1761487285.6108725,energybulbs.co.uk,Iterative,213.248.216.1,TLD,REFERRAL to ns0.lcn.com. (needs glue lookup),165.59147834777832,,N/A
1761487286.0789208,energybulbs.co.uk,Iterative,195.110.124.234,Authoritative,ANSWER: 23.227.38.32,157.36961364746094,765.8884525299072,N/A
1761487286.2365494,o-ov.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,139.2686367034912,,N/A
1761487286.3759925,o-ov.com,Iterative,192.41.162.30,TLD,REFERRAL to 2603:5:2180::5,142.61603355407715,,N/A
1761487286.520821,o-ov.com,Iterative,2603:5:2180::5,Authoritative,ERROR: The DNS operation timed out.,,2287.165403366089,N/A
1761487288.5239875,ex-jw.org,Iterative,198.41.0.4,Root,REFERRAL to 199.249.112.1,164.22796249389648,,N/A
1761487288.6883817,ex-jw.org,Iterative,199.249.112.1,TLD,REFERRAL to ns11.wixdns.net. (needs glue lookup),72.8766918182373,,N/A
1761487288.7813356,ex-jw.org,Iterative,216.239.38.100,Authoritative,ANSWER: 185.230.63.171,154.57439422607422,412.0213985443115,N/A
1761487288.9361427,i-butterfly.ru,Iterative,198.41.0.4,Root,REFERRAL to 193.232.128.6,153.17606925964355,,N/A
1761487289.0896883,i-butterfly.ru,Iterative,193.232.128.6,TLD,REFERRAL to fred.ns.cloudflare.com. (needs glue lookup),219.30503845214844,,N/A
1761487289.3324263,i-butterfly.ru,Iterative,173.245.59.113,Authoritative,ANSWER: 172.67.151.138,42.35696792602539,438.7223720550537,N/A
