Timestamp,Domain name queried,Resolution mode,DNS server IP contacted,Step of resolution,Response or referral received,Round-trip time to that server,Total time to resolution,Cache status
1761487316.9599326,brown.edu,Iterative,198.41.0.4,Root,REFERRAL to 192.31.80.30,143.8462734222412,,N/A
1761487317.1040154,brown.edu,Iterative,192.31.80.30,TLD,ERROR: The DNS operation timed out.,,2156.7368507385254,N/A
1761487319.1172864,tsksv.ru,Iterative,198.41.0.4,Root,REFERRAL to 193.232.128.6,172.4529266357422,,N/A
1761487319.289924,tsksv.ru,Iterative,193.232.128.6,TLD,REFERRAL to 85.193.93.85,215.23594856262207,,N/A
1761487319.5053248,tsksv.ru,Iterative,85.193.93.85,Authoritative,ANSWER: 91.199.149.117,197.88718223571777,586.0276222229004,N/A
1761487319.70352,datadikdki.net,Iterative,198.41.0.4,Root,REFERRAL to 192.55.83.30,146.9573974609375,,N/A
1761487319.8506892,datadikdki.net,Iterative,192.55.83.30,TLD,REFERRAL to sky.ns.cloudflare.com. (needs glue lookup),147.12977409362793,,N/A
1761487320.0227778,datadikdki.net,Iterative,172.64.34.2,Authoritative,ANSWER: 172.67.171.27,46.318769454956055,365.6589984893799,N/A
1761487320.0693438,ticketbis.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,145.41006088256836,,N/A
1761487320.2149138,ticketbis.com,Iterative,192.41.162.30,TLD,REFERRAL to 149.112.160.1,183.1381320953369,,N/A
1761487320.3982365,ticketbis.com,Iterative,149.112.160.1,Authoritative,ERROR: All nameservers failed to answer the query ns1.markmonitor.com.\032hostmaster.markmonitor.com.\0322025100304\03286400\0323600\0322592000\032172800. IN A: Server Do53:127.0.0.53@53 answered FORMERR,115.98801612854004,497.4400997161865,N/A
1761487320.5669208,jabeye.org,Iterative,198.41.0.4,Root,REFERRAL to 199.249.112.1,137.11929321289062,,N/A
1761487320.7042704,jabeye.org,Iterative,199.249.112.1,TLD,REFERRAL to ns1.dreamhost.com. (needs glue lookup),79.05125617980957,,N/A
1761487320.8090823,jabeye.org,Iterative,162.159.26.14,Authoritative,ANSWER: 173.236.216.220,289.4446849822998,531.6686630249023,N/A
1761487321.098973,cellularfactory.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,146.65985107421875,,N/A
1761487321.2458284,cellularfactory.com,Iterative,192.41.162.30,TLD,REFERRAL to 162.159.26.132,142.3048973083496,,N/A
1761487321.3883827,cellularfactory.com,Iterative,162.159.26.132,Authoritative,ANSWER: 208.91.197.27,58.03084373474121,347.5608825683594,N/A
1761487321.446834,newpages2u.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,154.9813747406006,,N/A
1761487321.6020498,newpages2u.com,Iterative,192.41.162.30,TLD,REFERRAL to ns9.newpages.com.my. (needs glue lookup),160.8595848083496,,N/A
1761487321.8659406,newpages2u.com,Iterative,110.74.174.131,Authoritative,ANSWER: 110.74.174.131,99.02191162109375,518.2051658630371,N/A
1761487321.9651637,gaybodyblog.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,148.24819564819336,,N/A
1761487322.1143024,gaybodyblog.com,Iterative,192.41.162.30,TLD,REFERRAL to 108.162.193.132,147.11570739746094,,N/A
1761487322.26185,gaybodyblog.com,Iterative,108.162.193.132,Authoritative,ANSWER: 148.72.167.158,42.308807373046875,339.0660285949707,N/A
1761487322.304613,simple-health-reports.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,159.97838973999023,,N/A
1761487322.4650884,simple-health-reports.com,Iterative,192.41.162.30,TLD,ERROR: All nameservers failed to answer the query a.gtld-servers.net.\032nstld.verisign-grs.com.\0321761487274\0321800\032900\032604800\032900. IN A: Server Do53:127.0.0.53@53 answered FORMERR,157.3793888092041,345.56102752685547,N/A
1761487322.6503344,likeminded.ca,Iterative,198.41.0.4,Root,REFERRAL to 45.142.220.101,147.91035652160645,,N/A
1761487322.7988396,likeminded.ca,Iterative,45.142.220.101,TLD,REFERRAL to 51.222.139.240,190.6139850616455,,N/A
1761487322.9900353,likeminded.ca,Iterative,51.222.139.240,Authoritative,ANSWER: 198.100.154.154,255.41257858276367,595.1833724975586,N/A
1761487323.245703,seedy.dk,Iterative,198.41.0.4,Root,REFERRAL to 193.163.102.222,156.65960311889648,,N/A
1761487323.4026244,seedy.dk,Iterative,193.163.102.222,TLD,REFERRAL to ns2.simply.com. (needs glue lookup),163.82932662963867,,N/A
1761487323.5871797,seedy.dk,Iterative,185.25.141.15,Authoritative,ANSWER: 93.191.156.22,170.37653923034668,511.92355155944824,N/A
1761487323.7580566,51cdngo.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,142.64726638793945,,N/A
1761487323.9011564,51cdngo.com,Iterative,192.41.162.30,TLD,REFERRAL to ns1.dnsinside.net. (needs glue lookup),159.42120552062988,,N/A
1761487324.5075588,51cdngo.com,Iterative,61.139.126.180,Authoritative,ERROR: All nameservers failed to answer the query ns1.dnsinside.net.\032hostmaster.dnsinside.net.\0321083128296\0323600\032600\03286400\032600. IN A: Server Do53:127.0.0.53@53 answered FORMERR,379.05025482177734,1152.6448726654053,N/A
1761487324.9110324,fauzanalfi.com,Iterative,198.41.0.4,Root,REFERRAL to 192.41.162.30,145.5702781677246,,N/A
1761487325.0569968,fauzanalfi.com,Iterative,192.41.162.30,TLD,REFERRAL to 172.64.52.210,145.81584930419922,,N/A
1761487325.2032514,fauzanalfi.com,Iterative,172.64.52.210,Authoritative,ERROR: All nameservers failed to answer the query ns1.digitalocean.com.\032hostmaster.fauzanalfi.com.\0321643421194\03210800\0323600\032604800\0321800. IN A: Server Do53:127.0.0.53@53 answered FORMERR,268.54467391967773,583.7311744689941,N/A
